variant_group_id,canonical_question_id,question_id,correct_index,correct_answer,review_status
vg_bc099fba13a3,8,8,2,Excessive heavy braking.,conflict_queue
vg_bc099fba13a3,8,825,0,Using harsh acceleration.,conflict_queue
vg_bc099fba13a3,8,1248,1,Excessively heavy braking.,conflict_queue
vg_bc099fba13a3,8,1249,2,Excessive speed.,conflict_queue
vg_c7a54d1bbd37,15,15,0,Fire brigade.,conflict_queue
vg_c7a54d1bbd37,15,16,0,Ambulance.,conflict_queue
vg_c7a54d1bbd37,15,17,3,Garda.,conflict_queue
vg_c7a54d1bbd37,15,670,1,Ambulance.,conflict_queue
vg_a9f050c35cf9,23,23,1,Tram lane on left.,conflict_queue
vg_a9f050c35cf9,23,24,1,Overhead electric cables.,conflict_queue
vg_a9f050c35cf9,23,29,0,Maximum permitted weight is 3 tonnes.,conflict_queue
vg_a9f050c35cf9,23,30,2,Parking of vehicles exceeding the weight shown is not allowed.,conflict_queue
vg_a9f050c35cf9,23,31,0,No overtaking.,conflict_queue
vg_a9f050c35cf9,23,32,3,"Only buses, cyclists and taxis are allowed to use the lane ahead during the hours indicated.",conflict_queue
vg_a9f050c35cf9,23,33,2,With-flow bus and cycle lane ahead on left.,conflict_queue
vg_a9f050c35cf9,23,34,3,Bus and cycle lane ahead on right.,conflict_queue
vg_a9f050c35cf9,23,35,3,With-flow bus lane on the right.,conflict_queue
vg_a9f050c35cf9,23,36,2,Contra-flow bus lane on the right.,conflict_queue
vg_a9f050c35cf9,23,37,0,Contra-flow bus lane.,conflict_queue
vg_a9f050c35cf9,23,38,1,Tram lane on right.,conflict_queue
vg_a9f050c35cf9,23,39,0,Y-junction where main road bears to the left.,conflict_queue
vg_a9f050c35cf9,23,40,2,Y-junction ahead with roads of equal importance.,conflict_queue
vg_a9f050c35cf9,23,41,1,Crossroads with major road ahead.,conflict_queue
vg_a9f050c35cf9,23,42,1,T-junction ahead with a road of major importance.,conflict_queue
vg_a9f050c35cf9,23,43,3,Crossroads with dual carriageway ahead.,conflict_queue
vg_a9f050c35cf9,23,44,2,T-junction with dual carriageway ahead.,conflict_queue
vg_a9f050c35cf9,23,45,2,Traffic merging from the left.,conflict_queue
vg_a9f050c35cf9,23,46,0,Traffic merging/diverging ahead.,conflict_queue
vg_a9f050c35cf9,23,47,0,Dangerous corner ahead.,conflict_queue
vg_a9f050c35cf9,23,48,0,Sharp change of direction to the right.,conflict_queue
vg_a9f050c35cf9,23,49,0,Road narrows on the left.,conflict_queue
vg_a9f050c35cf9,23,50,2,Road divides ahead.,conflict_queue
vg_a9f050c35cf9,23,51,0,Steep descent ahead.,conflict_queue
vg_a9f050c35cf9,23,52,0,Low bridge up ahead.,conflict_queue
vg_a9f050c35cf9,23,55,2,Series of bumps or hollows ahead.,conflict_queue
vg_a9f050c35cf9,23,56,0,Slippery road ahead.,conflict_queue
vg_a9f050c35cf9,23,57,1,Traffic signals ahead.,conflict_queue
vg_a9f050c35cf9,23,65,3,Two-way traffic.,conflict_queue
vg_a9f050c35cf9,23,77,0,Stop your vehicle.,conflict_queue
vg_a9f050c35cf9,23,86,2,Junction ahead with roads of lesser importance.,conflict_queue
vg_a9f050c35cf9,23,87,0,Staggered crossroads ahead with roads of equal importance.,conflict_queue
vg_a9f050c35cf9,23,89,2,Overhead electric cables.,conflict_queue
vg_a9f050c35cf9,23,91,3,Level crossing ahead guarded by gates or barriers.,conflict_queue
vg_a9f050c35cf9,23,92,0,The driver must stop when red lights show.,conflict_queue
vg_a9f050c35cf9,23,93,0,"Sharp rise in the road ahead - for example, a humpback bridge.",conflict_queue
vg_a9f050c35cf9,23,94,3,Accompanied horses and ponies ahead.,conflict_queue
vg_a9f050c35cf9,23,95,2,Pedestrian crossing ahead.,conflict_queue
vg_a9f050c35cf9,23,96,1,Three hundred meters to the next exit.,conflict_queue
vg_a9f050c35cf9,23,97,3,200 metres to the next exit.,conflict_queue
vg_a9f050c35cf9,23,100,1,Entry to motorway.,conflict_queue
vg_a9f050c35cf9,23,101,2,Y-junction ahead with roads of equal importance.,conflict_queue
vg_a9f050c35cf9,23,102,0,Roundabout ahead.,conflict_queue
vg_a9f050c35cf9,23,103,0,Mini-roundabout ahead.,conflict_queue
vg_a9f050c35cf9,23,104,0,Automatic level crossing ahead.,conflict_queue
vg_a9f050c35cf9,23,105,1,"Unprotected quay, canal or river ahead.",conflict_queue
vg_a9f050c35cf9,23,106,0,Deer or wild animals ahead.,conflict_queue
vg_a9f050c35cf9,23,107,0,Roadworks ahead.,conflict_queue
vg_a9f050c35cf9,23,108,0,With-flow bus and cycle lane on left.,conflict_queue
vg_a9f050c35cf9,23,109,1,Crossroads ahead with roads of equal importance.,conflict_queue
vg_a9f050c35cf9,23,110,1,Dangerous bend ahead.,conflict_queue
vg_a9f050c35cf9,23,111,2,Series of dangerous corners ahead.,conflict_queue
vg_a9f050c35cf9,23,112,2,Series of dangerous bends ahead.,conflict_queue
vg_a9f050c35cf9,23,113,0,Road narrows on both sides.,conflict_queue
vg_a9f050c35cf9,23,116,2,School children crossing ahead.,conflict_queue
vg_a9f050c35cf9,23,117,2,School children crossing ahead.,conflict_queue
vg_a9f050c35cf9,23,133,1,Yield to traffic on the major road.,conflict_queue
vg_a9f050c35cf9,23,135,1,"Yield to traffic coming from the right, or already on the roundabout.",conflict_queue
vg_a9f050c35cf9,23,136,0,Turn right only.,conflict_queue
vg_a9f050c35cf9,23,137,1,You must turn right ahead.,conflict_queue
vg_a9f050c35cf9,23,138,1,Tramway crossing ahead.,conflict_queue
vg_a9f050c35cf9,23,139,3,Keep right.,conflict_queue
