id,category,question,correct_answer,explanation,options_json,image_paths_json,archive_url
1,Control of Vehicle,What is the effect of an incorrectly adjusted driver's seat?,It can delay the driver from operating a control.,"Before starting a journey, you should adopt a suitable and comfortable driving position by adjusting the drivers seat to a position where all the vehicle controls can be operated efficiently.","[{""index"": 0, ""text"": ""It can delay the driver from operating a control."", ""is_correct"": true}, {""index"": 1, ""text"": ""It improves the driver's ability to operate the clutch."", ""is_correct"": false}, {""index"": 2, ""text"": ""It enables the driver to relax more on a long journey."", ""is_correct"": false}, {""index"": 3, ""text"": ""It gives the driver a better view in the rear-view mirror."", ""is_correct"": false}]",[],https://web.archive.org/web/20230602180312id_/http://theory-tester.com/questions/1
2,Uncategorized,"If the brake pedal of a vehicle feels soft or spongy when applied, what does this mean?",A fault in the brake fluid system.,"If the brake pedal feels soft or spongy when pressed, it could indicate that the brake fluid level is low and there is a fault in the system. Each time a driver sets out on a journey, they should test the brakes. If a fault is detected, have it checked by a competent person. Drivers should check brake fluid levels regularly.","[{""index"": 0, ""text"": ""A fault in the brake fluid system."", ""is_correct"": true}, {""index"": 1, ""text"": ""The parking brake is on."", ""is_correct"": false}, {""index"": 2, ""text"": ""Worn brake pads."", ""is_correct"": false}, {""index"": 3, ""text"": ""A fault in the handbrake cable."", ""is_correct"": false}]",[],https://web.archive.org/web/20250715231102id_/http://theory-tester.com/questions/2
3,Control of Vehicle,What is a likely consequence of sudden braking?,The vehicle could be hit from behind.,"As well as reading the road ahead, you should also be aware of traffic travelling behind you. This will help you react correctly in a situation where you need to brake suddenly.","[{""index"": 0, ""text"": ""There will be no consequences as the vehicle's brake lights will come on."", ""is_correct"": false}, {""index"": 1, ""text"": ""The vehicle could be hit from behind."", ""is_correct"": true}, {""index"": 2, ""text"": ""The vehicle's braking system could overheat."", ""is_correct"": false}, {""index"": 3, ""text"": ""The vehicle could be overtaken."", ""is_correct"": false}]",[],https://web.archive.org/web/20230602174728id_/http://theory-tester.com/questions/3
4,Uncategorized,"If a driver applies the footbrake and hears a scraping noise, what is the most likely cause?",The brake linings or pads are worn.,"Drivers should test their brakes regularly and particularly before setting out on a journey. However, if when driving they hear a scraping noise when they press the brake, the most likely reason is that the brake linings or pads are worn. In this case, brakes wont work as well as they should and the driver should have them replaced by a competent person immediately.","[{""index"": 0, ""text"": ""One of the rear tyres is flat."", ""is_correct"": false}, {""index"": 1, ""text"": ""The brake linings or pads are worn."", ""is_correct"": true}, {""index"": 2, ""text"": ""The brake-pads are wet."", ""is_correct"": false}, {""index"": 3, ""text"": ""One of the front tyres is flat."", ""is_correct"": false}]",[],https://web.archive.org/web/20241004115754id_/http://theory-tester.com/questions/4
5,Control of Vehicle,"Whilst driving, why might a driver suspect that the brake fluid level in their vehicle is low?",The brakes feel spongy and soft.,"If the brake pedal feels soft or spongy when pressed, it could indicate that the brake fluid level is low and there is a fault in the system. Each time a driver sets out on a journey, they should test the brakes. If a fault is detected, have it checked by a competent person. Drivers should check brake fluid levels regularly.","[{""index"": 0, ""text"": ""The brakes feel hard to press."", ""is_correct"": false}, {""index"": 1, ""text"": ""The brakes feel spongy and soft."", ""is_correct"": true}, {""index"": 2, ""text"": ""The brakes are unusually sharp."", ""is_correct"": false}, {""index"": 3, ""text"": ""The brakes take longer than usual to release."", ""is_correct"": false}]",[],https://web.archive.org/web/20230930015333id_/http://theory-tester.com/questions/5
6,Control of Vehicle,"If a driver applies the foot brake and hears a scraping noise, what is the most likely cause?",The brake linings or pads are worn.,"Drivers should test their brakes regularly and particularly before setting out on a journey. However, if when driving they hear a scraping noise when they press the brake, the most likely reason is that the brake linings or pads are worn. In this case, brakes wont work as well as they should and the driver should have them replaced by a competent person immediately.","[{""index"": 0, ""text"": ""The brake linings or pads are worn."", ""is_correct"": true}, {""index"": 1, ""text"": ""One of the front tyres is flat."", ""is_correct"": false}, {""index"": 2, ""text"": ""The brake-pads are wet."", ""is_correct"": false}, {""index"": 3, ""text"": ""One of the rear tyres is flat."", ""is_correct"": false}]",[],https://web.archive.org/web/20231130142424id_/http://theory-tester.com/questions/6
7,Uncategorized,The parking brake (handbrake) generally works on which wheels?,The rear wheels.,"In most vehicles, the parking brake operates on the rear wheels only. The function of the parking brake (handbrake) is to stop the vehicle from moving when it is parked or when it is stopped on a hill. Drivers normally use the parking brake when the vehicle is already stationary and should generally not use it to stop the vehicle. It is even more important to use the parking brake when parked on a hill or when stationary in a vehicle with automatic transmission to prevent creep.","[{""index"": 0, ""text"": ""The rear wheels."", ""is_correct"": true}, {""index"": 1, ""text"": ""All the wheels."", ""is_correct"": false}, {""index"": 2, ""text"": ""The rear right-hand wheel."", ""is_correct"": false}, {""index"": 3, ""text"": ""The front wheels."", ""is_correct"": false}]",[],https://web.archive.org/web/20250520204614id_/http://theory-tester.com/questions/7
8,Control of Vehicle,What can cause a vehicle to skid?,Excessive heavy braking.,"Heavy braking can cause a vehicle to skid, particularly if the road surface is wet or uneven, or if the tyres are worn or incorrectly inflated. Read the road well ahead and try to avoid heavy braking, particularly in wet or slippery conditions.","[{""index"": 0, ""text"": ""Controlled acceleration."", ""is_correct"": false}, {""index"": 1, ""text"": ""Coasting to a stop."", ""is_correct"": false}, {""index"": 2, ""text"": ""Excessive heavy braking."", ""is_correct"": true}, {""index"": 3, ""text"": ""Stopping in fourth gear."", ""is_correct"": false}]",[],https://web.archive.org/web/20240229014605id_/http://theory-tester.com/questions/8
9,Uncategorized,What is the outcome of late clutch use when stopping a vehicle?,The vehicle may cut out.,"Drivers should always make proper use of the clutch on the vehicle when changing gear, this will allow for smooth gear changes at all times. When a vehicle is coming to a stop, the clutch should be used in good time to avoid the vehicle cutting out.","[{""index"": 0, ""text"": ""Tyres will wear down quicker."", ""is_correct"": false}, {""index"": 1, ""text"": ""The vehicle may cut out."", ""is_correct"": true}, {""index"": 2, ""text"": ""It helps to save fuel."", ""is_correct"": false}]",[],https://web.archive.org/web/20250614175651id_/http://theory-tester.com/questions/9
10,Uncategorized,What is the danger of sudden braking?,Vehicle may skid.,"Drivers should always read the road ahead and drive at a distance that enables them to stop safely. Where a driver has to brake suddenly, they should be aware that they may lose control of the vehicle causing it to skid.","[{""index"": 0, ""text"": ""Driver’s airbag may deploy."", ""is_correct"": false}, {""index"": 1, ""text"": ""Vehicle may skid."", ""is_correct"": true}, {""index"": 2, ""text"": ""Handbrake may engage."", ""is_correct"": false}]",[],https://web.archive.org/web/20250425181725id_/http://theory-tester.com/questions/10
11,Control of Vehicle,What is the danger associated with applying the handbrake (parking brake) when the vehicle is moving?,The wheels could lock and cause the vehicle to skid.,"Except in an emergency, the handbrake (parking brake) should never be used when the vehicle is moving. This practice is potentially dangerous, as the wheels could lock up and the vehicle could skid out of control. In addition there is no warning to following traffic from the brake lights.","[{""index"": 0, ""text"": ""There is no danger - the vehicle will not skid as the handbrake can be released quickly."", ""is_correct"": false}, {""index"": 1, ""text"": ""The engine will stall once the handbrake is applied at speed."", ""is_correct"": false}, {""index"": 2, ""text"": ""The wheels could lock and cause the vehicle to skid."", ""is_correct"": true}, {""index"": 3, ""text"": ""The ABS could disconnect and cause the vehicle to skid."", ""is_correct"": false}]",[],https://web.archive.org/web/20231130135313id_/http://theory-tester.com/questions/11
12,Uncategorized,What should a driver be aware of when braking to slow down and stop?,A loaded vehicle takes longer to stop.,"When you are braking you need to take into account that a fully loaded vehicle, because of its additional weight takes a longer distance to come to a complete stop than an unladen vehicle.","[{""index"": 0, ""text"": ""An empty vehicle takes longer to stop."", ""is_correct"": false}, {""index"": 1, ""text"": ""A loaded vehicle takes longer to stop."", ""is_correct"": true}, {""index"": 2, ""text"": ""A shorter vehicle takes longer to stop."", ""is_correct"": false}]",[],https://web.archive.org/web/20241213181838id_/http://theory-tester.com/questions/12
13,Control of Vehicle,What is the recommended method of driving a car with automatic transmission?,Operate the accelerator and brake with the right foot.,"When driving a car with automatic transmission, drivers should use the right foot to operate both the accelerator and the brake, just as in vehicles with a manual gear box. In general it is important to avoid using the accelerator and the brake at the same time.","[{""index"": 0, ""text"": ""Operate the accelerator and brake with the right foot."", ""is_correct"": true}, {""index"": 1, ""text"": ""Operate the accelerator with the right foot and the brake with the left foot."", ""is_correct"": false}, {""index"": 2, ""text"": ""Operate the accelerator and brake with the left foot."", ""is_correct"": false}, {""index"": 3, ""text"": ""Use the handbrake to bring the vehicle to a halt."", ""is_correct"": false}]",[],https://web.archive.org/web/20240414110546id_/http://theory-tester.com/questions/13
14,Legal Matters/Rules of the Road,How should an L-plate be composed?,A red L on a white background.,L-plates should be displayed front and rear. The plates should be a red L on a white background and should be not less than 15 cm high with a border of at least 2 cm. A learner motorcyclist must wear a yellow tabard displaying L-plates front and rear. The L-plates must be not less than 15 cm high on a white background.,"[{""index"": 0, ""text"": ""A red L on a white background."", ""is_correct"": true}, {""index"": 1, ""text"": ""A white L on a red background."", ""is_correct"": false}, {""index"": 2, ""text"": ""A red L on a transparent background."", ""is_correct"": false}, {""index"": 3, ""text"": ""A green L on a white background."", ""is_correct"": false}]",[],https://web.archive.org/web/20230930030415id_/http://theory-tester.com/questions/14
15,Legal Matters/Rules of the Road,Which vehicle is exempt from speed limits when being used in an emergency?,Fire brigade.,"In the course of their duty Gardaí, Fire Brigade and ambulance personnel are exempt from some traffic laws including speed limits, as long as they do not put other road users in danger. If you hear or see a Garda or emergency vehicle approaching under emergency conditions, be extra careful and give way, if it is safe to do so.","[{""index"": 0, ""text"": ""Fire brigade."", ""is_correct"": true}, {""index"": 1, ""text"": ""Mountain rescue."", ""is_correct"": false}, {""index"": 2, ""text"": ""Doctor on call."", ""is_correct"": false}, {""index"": 3, ""text"": ""Breakdown recovery."", ""is_correct"": false}]",[],https://web.archive.org/web/20230602190309id_/http://theory-tester.com/questions/15
16,Legal Matters/Rules of the Road,Which vehicle is exempt from speed limits when being used in an emergency?,Ambulance.,"In the course of their duty Gardaí, Fire Brigade and ambulance personnel are exempt from some traffic laws including speed limits, as long as they do not put other road users in danger. If you hear or see a Garda or emergency vehicle approaching under emergency conditions, be extra careful and give way, if it is safe to do so.","[{""index"": 0, ""text"": ""Ambulance."", ""is_correct"": true}, {""index"": 1, ""text"": ""Breakdown recovery."", ""is_correct"": false}, {""index"": 2, ""text"": ""Doctor on call."", ""is_correct"": false}, {""index"": 3, ""text"": ""Mountain rescue."", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020217id_/http://theory-tester.com:80/questions/16
17,Legal Matters/Rules of the Road,Which vehicle is exempt from speed limits when being used in an emergency?,Garda.,"In the course of their duty Gardaí, Fire Brigade and ambulance personnel are exempt from some traffic laws including speed limits, as long as they do not put other road users in danger. If you hear or see a Garda or emergency vehicle approaching under emergency conditions, be extra careful and give way, if it is safe to do so.","[{""index"": 0, ""text"": ""Doctor on call."", ""is_correct"": false}, {""index"": 1, ""text"": ""Breakdown recovery."", ""is_correct"": false}, {""index"": 2, ""text"": ""Mountain rescue."", ""is_correct"": false}, {""index"": 3, ""text"": ""Garda."", ""is_correct"": true}]",[],https://web.archive.org/web/20200803020222id_/http://theory-tester.com:80/questions/17
