variant_group_id,canonical_question_id,question_id,correct_index,correct_answer,review_status,image_scenario_variant
vg_453c6f47ee89,8,8,2,Excessive heavy braking.,answer_variant_review,false
vg_453c6f47ee89,8,825,0,Using harsh acceleration.,answer_variant_review,false
vg_453c6f47ee89,8,1248,1,Excessively heavy braking.,answer_variant_review,false
vg_453c6f47ee89,8,1249,2,Excessive speed.,answer_variant_review,false
vg_89be2e6448b8,15,15,0,Fire brigade.,answer_variant_review,false
vg_89be2e6448b8,15,16,0,Ambulance.,answer_variant_review,false
vg_89be2e6448b8,15,17,3,Garda.,answer_variant_review,false
vg_89be2e6448b8,15,670,1,Ambulance.,answer_variant_review,false
vg_4ade41eae008,36,36,2,Contra-flow bus lane on the right.,answer_variant_review,false
vg_4ade41eae008,36,37,0,Contra-flow bus lane.,answer_variant_review,false
vg_d56007cb5f95,53,53,2,At all times when the vehicle is on a public road.,answer_variant_review,false
vg_d56007cb5f95,53,200,0,At all times when the vehicle is on a public road.,answer_variant_review,false
vg_d56007cb5f95,53,1169,0,At all times.,answer_variant_review,false
vg_dbd0febbe76c,58,58,3,They should not drive until their insurance company confirms that they are insured.,answer_variant_review,false
vg_dbd0febbe76c,58,1174,0,They should not drive until cover is confirmed by their insurance company.,answer_variant_review,false
vg_2957cb004efa,73,73,3,Only when the passenger also holds a Category W driving licence and the vehicle is designed to carry a passenger.,answer_variant_review,false
vg_2957cb004efa,73,1281,2,Only when the passenger also holds a Category W driving licence and the vehicle is designed to take a passenger.,answer_variant_review,false
vg_f40b99c6aca3,76,76,1,When it would be unsafe to do so.,answer_variant_review,false
vg_f40b99c6aca3,76,168,1,"When by doing so, your vehicle blocks the junction.",answer_variant_review,false
vg_1bb7b39c1680,84,84,1,Parking is never permitted on the brow of a hill.,answer_variant_review,false
vg_1bb7b39c1680,84,935,3,Parking on the brow of a hill is never allowed.,answer_variant_review,false
vg_4e3d64cd76d6,114,114,3,The Garda is beckoning on traffic approaching from either side.,answer_variant_review,false
vg_4e3d64cd76d6,114,115,1,Traffic approaching from the front may proceed.,answer_variant_review,false
vg_4e3d64cd76d6,114,918,0,Stop if approaching from the front.,answer_variant_review,false
vg_4e3d64cd76d6,114,919,0,Stop if approaching from behind.,answer_variant_review,false
vg_4e3d64cd76d6,114,920,3,Stop if approaching from either the front or behind.,answer_variant_review,false
vg_9fea25e5d595,126,126,1,"Stop, unless it is unsafe to do so.",answer_variant_review,false
vg_9fea25e5d595,126,127,0,The driver may proceed in the direction of the green arrow if the way is clear.,answer_variant_review,false
vg_9fea25e5d595,126,128,2,Traffic must stop at the traffic light.,answer_variant_review,false
vg_9fea25e5d595,126,129,3,Traffic may proceed if the way is clear.,answer_variant_review,false
vg_9fea25e5d595,126,241,1,Traffic turning left may proceed if the way is clear.,answer_variant_review,false
vg_9fea25e5d595,126,927,0,"Stop, unless it would be unsafe to do so.",answer_variant_review,false
