variant_group_id,canonical_question_id,question_id,duplicate_reason,review_status,answer_variant_candidates,conflicting_correct_answers
vg_fd313b72b096,1,1,normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_fd313b72b096,1,836,normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_ec32c9ac4148,4,4,near_duplicate_stem,needs_review,false,false
vg_ec32c9ac4148,4,6,near_duplicate_stem,needs_review,false,false
vg_453c6f47ee89,8,8,exact_stem|normalised_stem,answer_variant_review,true,false
vg_453c6f47ee89,8,825,exact_stem|normalised_stem,answer_variant_review,true,false
vg_453c6f47ee89,8,1248,exact_stem|normalised_stem,answer_variant_review,true,false
vg_453c6f47ee89,8,1249,exact_stem|normalised_stem,answer_variant_review,true,false
vg_89be2e6448b8,15,15,exact_stem|normalised_stem,answer_variant_review,true,false
vg_89be2e6448b8,15,16,exact_stem|normalised_stem,answer_variant_review,true,false
vg_89be2e6448b8,15,17,exact_stem|normalised_stem,answer_variant_review,true,false
vg_89be2e6448b8,15,670,exact_stem|normalised_stem,answer_variant_review,true,false
vg_b5e4028fbc3f,21,21,normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_b5e4028fbc3f,21,172,normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_cbe335abf778,24,24,same_question_answers_reordered,needs_review,false,false
vg_cbe335abf778,24,89,same_question_answers_reordered,needs_review,false,false
vg_5a56d707349d,25,25,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_5a56d707349d,25,66,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_0992622194c5,26,26,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_0992622194c5,26,67,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_0992622194c5,26,201,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_390881494671,27,27,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_390881494671,27,68,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_b06b3acd9124,33,33,same_question_answers_reordered,needs_review,false,false
vg_b06b3acd9124,33,161,same_question_answers_reordered,needs_review,false,false
vg_37efa0873d27,34,34,same_question_answers_reordered,needs_review,false,false
vg_37efa0873d27,34,163,same_question_answers_reordered,needs_review,false,false
vg_f1e7bceb1132,35,35,same_question_answers_reordered,needs_review,false,false
vg_f1e7bceb1132,35,164,same_question_answers_reordered,needs_review,false,false
vg_4ee47230fb29,36,36,same_question_answers_reordered,needs_review,false,false
vg_4ee47230fb29,36,165,same_question_answers_reordered,needs_review,false,false
vg_4ade41eae008,36,36,same_image_repeated_question,answer_variant_review,true,false
vg_4ade41eae008,36,37,same_image_repeated_question,answer_variant_review,true,false
vg_9391ef7ca037,37,37,same_question_answers_reordered,needs_review,false,false
vg_9391ef7ca037,37,166,same_question_answers_reordered,needs_review,false,false
vg_4e46d17ced00,38,38,same_question_answers_reordered,needs_review,false,false
vg_4e46d17ced00,38,167,same_question_answers_reordered,needs_review,false,false
vg_9f67ccc23a15,40,40,same_image_repeated_question,needs_review,false,false
vg_9f67ccc23a15,40,101,same_image_repeated_question,needs_review,false,false
vg_3a8d5e5512dc,43,43,same_question_answers_reordered,needs_review,false,false
vg_3a8d5e5512dc,43,174,same_question_answers_reordered,needs_review,false,false
vg_54d700136314,44,44,same_question_answers_reordered,needs_review,false,false
vg_54d700136314,44,175,same_question_answers_reordered,needs_review,false,false
vg_40f0b19a6c7e,47,47,same_question_answers_reordered,needs_review,false,false
vg_40f0b19a6c7e,47,180,same_question_answers_reordered,needs_review,false,false
vg_ede4dc3be964,48,48,same_question_answers_reordered,needs_review,false,false
vg_ede4dc3be964,48,184,same_question_answers_reordered,needs_review,false,false
vg_b5d9c587dab7,49,49,same_question_answers_reordered,needs_review,false,false
vg_b5d9c587dab7,49,185,same_question_answers_reordered,needs_review,false,false
vg_5f52160b3c8e,50,50,same_question_answers_reordered,needs_review,false,false
vg_5f52160b3c8e,50,187,same_question_answers_reordered,needs_review,false,false
vg_7ab30a46eb28,51,51,same_question_answers_reordered,needs_review,false,false
vg_7ab30a46eb28,51,189,same_question_answers_reordered,needs_review,false,false
vg_ee134feb90b7,52,52,same_question_answers_reordered,needs_review,false,false
vg_ee134feb90b7,52,191,same_question_answers_reordered,needs_review,false,false
vg_d56007cb5f95,53,53,exact_stem|normalised_stem,answer_variant_review,true,false
vg_d56007cb5f95,53,200,exact_stem|normalised_stem,answer_variant_review,true,false
vg_d56007cb5f95,53,1169,exact_stem|normalised_stem,answer_variant_review,true,false
vg_403a1d2b8d04,53,53,same_question_answers_reordered,needs_review,false,false
vg_403a1d2b8d04,53,200,same_question_answers_reordered,needs_review,false,false
vg_652724e40444,55,55,same_question_answers_reordered,needs_review,false,false
vg_652724e40444,55,195,same_question_answers_reordered,needs_review,false,false
vg_d9c1adbf37f7,56,56,same_question_answers_reordered,needs_review,false,false
vg_d9c1adbf37f7,56,196,same_question_answers_reordered,needs_review,false,false
vg_dbd0febbe76c,58,58,exact_stem|normalised_stem,answer_variant_review,true,false
vg_dbd0febbe76c,58,1174,exact_stem|normalised_stem,answer_variant_review,true,false
vg_6a4549256f4a,63,63,exact_stem|normalised_stem,needs_review,false,false
vg_6a4549256f4a,63,170,exact_stem|normalised_stem,needs_review,false,false
vg_d1a4e036c71d,64,64,exact_stem|normalised_stem,needs_review,false,false
vg_d1a4e036c71d,64,171,exact_stem|normalised_stem,needs_review,false,false
vg_ed7a1604b62d,65,65,same_question_answers_reordered,needs_review,false,false
vg_ed7a1604b62d,65,222,same_question_answers_reordered,needs_review,false,false
vg_c7891279fb90,70,70,near_duplicate_stem,needs_review,false,false
vg_c7891279fb90,70,1280,near_duplicate_stem,needs_review,false,false
vg_2957cb004efa,73,73,exact_stem|normalised_stem,answer_variant_review,true,false
vg_2957cb004efa,73,1281,exact_stem|normalised_stem,answer_variant_review,true,false
vg_91d3557e1f2c,74,74,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_91d3557e1f2c,74,855,exact_stem|normalised_stem|same_question_answers_reordered,needs_review,false,false
vg_f40b99c6aca3,76,76,exact_stem|normalised_stem,answer_variant_review,true,false
vg_f40b99c6aca3,76,168,exact_stem|normalised_stem,answer_variant_review,true,false
vg_02e070dde757,78,78,near_duplicate_stem,needs_review,false,false
vg_02e070dde757,78,79,near_duplicate_stem,needs_review,false,false
vg_1bb7b39c1680,84,84,exact_stem|normalised_stem,answer_variant_review,true,false
vg_1bb7b39c1680,84,935,exact_stem|normalised_stem,answer_variant_review,true,false
vg_2ebf973085ab,94,94,same_question_answers_reordered,needs_review,false,false
vg_2ebf973085ab,94,156,same_question_answers_reordered,needs_review,false,false
vg_c69e8be96b21,95,95,same_question_answers_reordered,needs_review,false,false
vg_c69e8be96b21,95,157,same_question_answers_reordered,needs_review,false,false
vg_bd989fc2baa1,97,97,same_question_answers_reordered,needs_review,false,false
vg_bd989fc2baa1,97,158,same_question_answers_reordered,needs_review,false,false
vg_89db6e528cb4,99,99,near_duplicate_stem,needs_review,false,false
vg_89db6e528cb4,99,169,near_duplicate_stem,needs_review,false,false
vg_4e3d64cd76d6,114,114,exact_stem|normalised_stem,answer_variant_review,true,false
vg_4e3d64cd76d6,114,115,exact_stem|normalised_stem,answer_variant_review,true,false
vg_4e3d64cd76d6,114,918,exact_stem|normalised_stem,answer_variant_review,true,false
vg_4e3d64cd76d6,114,919,exact_stem|normalised_stem,answer_variant_review,true,false
vg_4e3d64cd76d6,114,920,exact_stem|normalised_stem,answer_variant_review,true,false
vg_eabb4e3a01a3,116,116,same_image_repeated_question,needs_review,false,false
vg_eabb4e3a01a3,116,117,same_image_repeated_question,needs_review,false,false
vg_82589a1bdf2e,120,120,same_question_answers_reordered,needs_review,false,false
vg_82589a1bdf2e,120,176,same_question_answers_reordered,needs_review,false,false
vg_a76c4993b827,121,121,same_question_answers_reordered,needs_review,false,false
vg_a76c4993b827,121,178,same_question_answers_reordered,needs_review,false,false
vg_5680eca00b7f,124,124,same_question_answers_reordered,needs_review,false,false
vg_5680eca00b7f,124,824,same_question_answers_reordered,needs_review,false,false
vg_9fea25e5d595,126,126,exact_stem|normalised_stem,answer_variant_review,true,false
vg_9fea25e5d595,126,127,exact_stem|normalised_stem,answer_variant_review,true,false
vg_9fea25e5d595,126,128,exact_stem|normalised_stem,answer_variant_review,true,false
vg_9fea25e5d595,126,129,exact_stem|normalised_stem,answer_variant_review,true,false
vg_9fea25e5d595,126,241,exact_stem|normalised_stem,answer_variant_review,true,false
vg_9fea25e5d595,126,927,exact_stem|normalised_stem,answer_variant_review,true,false
vg_f549c76187f8,126,126,near_duplicate_stem,answer_variant_review,true,false
vg_f549c76187f8,126,127,near_duplicate_stem,answer_variant_review,true,false
vg_f549c76187f8,126,128,near_duplicate_stem,answer_variant_review,true,false
vg_f549c76187f8,126,129,near_duplicate_stem,answer_variant_review,true,false
