session_group_id,canonical_question_id,question_id
sg_5463ff380db9,36,36
sg_5463ff380db9,36,37
sg_26526ec5f801,40,40
sg_26526ec5f801,40,101
sg_780b6019954f,116,116
sg_780b6019954f,116,117
sg_80cda579e41f,165,165
sg_80cda579e41f,165,166
sg_7ef8226ef6b6,248,248
sg_7ef8226ef6b6,248,249
sg_7ef8226ef6b6,248,250
sg_7ef8226ef6b6,248,251
sg_7ef8226ef6b6,248,252
sg_837ebc0a1f3d,268,268
sg_837ebc0a1f3d,268,987
sg_86652e5f19bc,718,718
sg_86652e5f19bc,718,719
sg_86652e5f19bc,718,720
sg_73bf46e3a92e,824,824
sg_73bf46e3a92e,824,923
sg_a8b2049cb701,975,975
sg_a8b2049cb701,975,976
sg_14116c0cd818,979,979
sg_14116c0cd818,979,980
sg_cca44e5d06a3,983,983
sg_cca44e5d06a3,983,984
sg_450aac389ab2,1,1
sg_450aac389ab2,1,836
sg_982ff167733f,21,21
sg_982ff167733f,21,172
sg_6aee8d5d151a,25,25
sg_6aee8d5d151a,25,66
sg_0be709721a03,26,26
sg_0be709721a03,26,67
sg_0be709721a03,26,201
sg_d8badc5ceebf,27,27
sg_d8badc5ceebf,27,68
sg_12c3d8688fe0,53,53
sg_12c3d8688fe0,53,200
sg_1271085f219f,74,74
sg_1271085f219f,74,855
sg_e83b1c11895b,256,256
sg_e83b1c11895b,256,844
sg_3b5290d0c0a3,257,257
sg_3b5290d0c0a3,257,861
sg_2b6cced844b5,258,258
sg_2b6cced844b5,258,334
sg_2b6cced844b5,258,892
sg_8a32896e6c4e,299,299
sg_8a32896e6c4e,299,569
sg_eac69d346d54,302,302
sg_eac69d346d54,302,335
sg_bdf93f42d1e2,309,309
sg_bdf93f42d1e2,309,338
sg_1ac85673c9ee,314,314
sg_1ac85673c9ee,314,840
sg_d40fc2110d7c,358,358
sg_d40fc2110d7c,358,820
sg_4f16ae500295,367,367
sg_4f16ae500295,367,413
sg_a9cf2e328225,369,369
sg_a9cf2e328225,369,414
sg_8ea6e8e42c70,372,372
sg_8ea6e8e42c70,372,564
sg_e472ce693dec,373,373
sg_e472ce693dec,373,417
sg_e6cb79114f67,374,374
sg_e6cb79114f67,374,567
sg_21e903632887,375,375
sg_21e903632887,375,419
sg_32efbf59eac7,362,362
sg_32efbf59eac7,362,404
sg_32efbf59eac7,362,443
sg_426d2ecb077a,410,410
sg_426d2ecb077a,410,447
sg_e3abf91807be,420,420
sg_e3abf91807be,420,455
sg_2df97da10d40,427,427
sg_2df97da10d40,427,461
sg_a1bb6e7d8b5a,430,430
sg_a1bb6e7d8b5a,430,463
sg_af27c0ee6474,512,512
sg_af27c0ee6474,512,711
sg_08ffb0042176,525,525
sg_08ffb0042176,525,724
sg_7b848679a7a4,526,526
sg_7b848679a7a4,526,828
sg_91a4479ec7d9,527,527
sg_91a4479ec7d9,527,717
sg_c3106aa44c9e,531,531
sg_c3106aa44c9e,531,735
sg_d893561c09a5,532,532
sg_d893561c09a5,532,728
sg_26e886e55491,533,533
sg_26e886e55491,533,590
sg_1806cb6c1a85,535,535
sg_1806cb6c1a85,535,736
sg_15c3b21a3e71,536,536
sg_15c3b21a3e71,536,738
sg_15c3b21a3e71,536,795
sg_b7379dd9ab01,537,537
sg_b7379dd9ab01,537,739
sg_9e5c28fed963,543,543
sg_9e5c28fed963,543,712
sg_be92db0da475,545,545
sg_be92db0da475,545,885
sg_b971de257fcc,546,546
sg_b971de257fcc,546,886
sg_917dfa923740,547,547
sg_917dfa923740,547,713
sg_d51a653391b4,548,548
sg_d51a653391b4,548,866
sg_5bff442125a3,549,549
sg_5bff442125a3,549,867
sg_3d1999c1f106,551,551
sg_3d1999c1f106,551,869
sg_fbc44ea56dbd,552,552
sg_fbc44ea56dbd,552,872
sg_2a860c60980c,554,554
sg_2a860c60980c,554,875
sg_986878da2875,555,555
sg_986878da2875,555,878
sg_d54e397a495f,556,556
sg_d54e397a495f,556,880
sg_ca121fa65ba5,557,557
sg_ca121fa65ba5,557,881
sg_7872468738fe,577,577
sg_7872468738fe,577,638
sg_e9b4dfa97965,602,602
sg_e9b4dfa97965,602,722
sg_7a228df91afb,604,604
sg_7a228df91afb,604,723
sg_bcfc80f213f6,608,608
sg_bcfc80f213f6,608,841
sg_c98ae27b0e1c,609,609
sg_c98ae27b0e1c,609,848
sg_2660d271efd5,610,610
sg_2660d271efd5,610,730
sg_f299bbb8ad09,611,611
sg_f299bbb8ad09,611,731
sg_12a02fa6f083,612,612
sg_12a02fa6f083,612,732
sg_eadcff334564,617,617
sg_eadcff334564,617,737
sg_8017c04e8bd3,647,647
sg_8017c04e8bd3,647,877
sg_2f2927231adf,648,648
sg_2f2927231adf,648,887
sg_d4fcc6a84535,767,767
sg_d4fcc6a84535,767,801
sg_be84f7c977c4,768,768
sg_be84f7c977c4,768,802
sg_be84f7c977c4,768,838
sg_6313f4090ac1,772,772
sg_6313f4090ac1,772,798
sg_2541edcb320d,780,780
sg_2541edcb320d,780,891
sg_61cd361d4686,4,4
sg_61cd361d4686,4,6
sg_6ecdbab78447,279,279
sg_6ecdbab78447,279,858
sg_fdf7712ddf35,304,304
sg_fdf7712ddf35,304,332
sg_739cf8754172,319,319
sg_739cf8754172,319,837
sg_f3f6d3f0adc7,480,480
sg_f3f6d3f0adc7,480,826
sg_4342f00424a9,491,491
sg_4342f00424a9,491,895
sg_130db1b78ce0,616,616
sg_130db1b78ce0,616,794
